Titel;Visualisierungstitel (falls nicht identisch);Quelle - Tags;Datum;Beschreibung;Art der Visualisierung - Tags;Visualisierung der Unsicherheit;Link;Bild;Cluster;coincident / adjacent;implicit / explicit;intrinsic / extrinsic;static / dynamic;type of uncertainty
Klimaschutz und Russland: Wo stehen Sie?;;Zeit;03.06.2024;Selbstpositionierung der EU-Kandidat*innen der Parteien anhand der Dimensionen Russland und Klimaschutz;Contour Map, Correlation, Scatter Plot, Spatial;Parteiengebiete durch Farben abgestuft und verteilt, jedoch keinerlei Erklärung dafür;https://www.zeit.de/politik/deutschland/2024-06/europawahl-2024-kandidaten-einstellungen-russland-klimawandel;ZEIT10.jpeg;7: Classification;coincident;explicit;intrinsic;dynamic;positional / geometric
Was für die Bundeswehr bestellt wurde – und was ihr noch fehlt;Milliarden für neues Material;Zeit;04.06.2024;"Von der Bestellung bis zur Lieferung: die wichtigsten Investitionen aus dem
Sondervermögen in die Bereiche Digitalisierung, Heer, Luftwaffe, Marine,
Ausrüstung";Change over Time, Priestley Timeline;Zeiträume in der Zukunft werden durch offene Balken dargestellt;https://www.zeit.de/politik/deutschland/2024-05/bundeswehr-sondervermoegen-militaer-investitionen;ZEIT9.png;1: Forecast;coincident;explicit;intrinsic;static;temporal
Werden Sachsen und Thüringen unregierbar?;Simulierte mögliche Mehrheiten in den Landtagen;Zeit;23.08.2024;Anzahl der Simulationen, in denen jede Koalitionsmöglichkeit in Frage käme;Bar Chart, Magnitude, Table;Anzahl der Simulationsergebnisse im Vergleich;https://www.zeit.de/politik/deutschland/2024-08/landtagswahl-ostdeutschland-afd-bsw-umfragen;Zeit_8.png;1: Forecast;coincident;explicit;extrinsic;static;attribute / thematic
Werden Sachsen und Thüringen unregierbar?;Aktuelle Umfragen für Sachsen;Zeit;23.08.2024;Anzahl der Simulationen, in denen das BSW entscheidend für eine Koalition ist;Arc, Grid Plot, Part-to-whole;Darstellung der Simualtionsergebnisse durch Feld mit vielen Arc Charts;https://www.zeit.de/politik/deutschland/2024-08/landtagswahl-ostdeutschland-afd-bsw-umfragen;ZEIT7.png;1: Forecast;coincident, unclear;implicit;intrinsic, unclear;static;attribute / thematic
Wie viel Klimawandel wurde in Ihrem Leben verursacht?;Noch steigen die Emissionen;Zeit;14.11.2024;Prognosen, wie sich die weltweiten Treibhausgas-Emissionen in Zukunft entwickeln könnten;Change over Time, Fan Chart; Flächen des möglichen Bereichs je nach Szenario;https://www.zeit.de/wissen/umwelt/2024-11/co2-emissionen-rechner-lebenszeit-klimawandel;ZEIT5.png;1: Forecast;coincident;explicit;extrinsic;static;temporal
Wer führt in den aktuellen Umfragen?;Wer könnte die nächste Regierung stellen?;Zeit;28.02.2025;Simulationsergebnisse und Wahrscheinlichkeiten jeweiliger Koalitionen;Grouped Symbol, Magnitude;die Wahrscheinlichkeit wird anhand fünfstufiger Skala gewichtet und die Anzahl der zutreffenden Simulationsergebnisse angegeben;https://www.zeit.de/politik/deutschland/umfragen-bundestagswahl-neuwahl-wahltrend;ZEIT4.png;1: Forecast;adjacent;explicit;extrinsic;static;attribute / thematic
Wer führt in den aktuellen Umfragen?;Die neuesten Umfragen;Zeit;28.02.2025;Bewertung verschiedener Meinungsforschungsinstitute;Deviation, Distribution, Diverging Bar Chart, Histogramm, Table;die Güte der Institute wird anhand von Sternen und Standardfehler / Überbewertung gewichtet und transparent gemacht;https://www.zeit.de/politik/deutschland/umfragen-bundestagswahl-neuwahl-wahltrend;ZEIT3.png;4: Sampling;adjacent;explicit;extrinsic;static;attribute / thematic
Wer führt in den aktuellen Umfragen?;;Zeit;28.02.2025;Darstellung verschiedener Umfragen und dem Mittelwert im Zeitverlauf;Change over Time, Correlation, Line Chart, Scatter Plot;die einzelnen Punkte zeigen die Streuung der einzelnen Umfragen um den Mittelwert;https://www.zeit.de/politik/deutschland/umfragen-bundestagswahl-neuwahl-wahltrend;ZEIT2.png;4: Sampling;coincident;explicit;extrinsic;dynamic;attribute / thematic
Wer führt in den aktuellen Umfragen?;Wie zuverlässig sind die Umfragen?;Zeit;28.02.2025;Abweichung zwischen Prognosen und dem endgültigen Wahlergebnis;Change over Time, Correlation, Line Chart, Scatter Plot;durch Spanne  wird die Abweichung der Prognosen zum eigentlichen Ergebnis angezeigt;https://www.zeit.de/politik/deutschland/umfragen-bundestagswahl-neuwahl-wahltrend;ZEIT1.png;4: Sampling;coincident;explicit;extrinsic;static;attribute / thematic
Das wären seine Koalitionen;;Zeit;19.02.2025;Simulationen der Koalitionsbildung nach der Wahl je nach einziehenden Parteien;Distribution, Histogramm;Simulationen zeigen Wahrscheinlichkeit der jeweiligen Szenarien;https://www.zeit.de/politik/deutschland/2025-02/bundestagswahl-prognose-fuenf-prozent-huerde-fdp-bsw-linke;ZEIT11.png;1: Forecast;coincident;explicit;extrinsic, unclear;dynamic;attribute / thematic
